folder_path,image_id,class
SmokeSet2/smoke,image_00000.jpg,smoke
SmokeSet2/smoke,image_00001.jpg,smoke
SmokeSet2/smoke,image_00002.jpg,smoke
SmokeSet2/smoke,image_00003.jpg,smoke
SmokeSet2/smoke,image_00004.jpg,smoke
SmokeSet2/smoke,image_00005.jpg,smoke
SmokeSet2/smoke,image_00006.jpg,smoke
SmokeSet2/smoke,image_00007.jpg,smoke
SmokeSet2/smoke,image_00008.jpg,smoke
SmokeSet2/smoke,image_00009.jpg,smoke
SmokeSet2/smoke,image_00010.jpg,smoke
SmokeSet2/smoke,image_00011.jpg,smoke
SmokeSet2/smoke,image_00012.jpg,smoke
SmokeSet2/smoke,image_00013.jpg,smoke
SmokeSet2/smoke,image_00014.jpg,smoke
SmokeSet2/smoke,image_00015.jpg,"['fire', 'smoke']"
SmokeSet2/smoke,image_00016.jpg,smoke
SmokeSet2/smoke,image_00017.jpg,smoke
SmokeSet2/smoke,image_00018.jpg,smoke
SmokeSet2/smoke,image_00019.jpg,smoke
SmokeSet2/smoke,image_00020.jpg,smoke
SmokeSet2/smoke,image_00021.jpg,smoke
SmokeSet2/smoke,image_00022.jpg,smoke
SmokeSet2/smoke,image_00023.jpg,smoke
SmokeSet2/smoke,image_00024.jpg,smoke
SmokeSet2/smoke,image_00025.jpg,smoke
SmokeSet2/smoke,image_00026.jpg,smoke
SmokeSet2/smoke,image_00027.jpg,smoke
SmokeSet2/smoke,image_00028.jpg,smoke
SmokeSet2/smoke,image_00029.jpg,smoke
SmokeSet2/smoke,image_00030.jpg,smoke
SmokeSet2/smoke,image_00031.jpg,smoke
SmokeSet2/smoke,image_00032.jpg,smoke
SmokeSet2/smoke,image_00033.jpg,smoke
SmokeSet2/smoke,image_00034.jpg,smoke
SmokeSet2/smoke,image_00035.jpg,smoke
SmokeSet2/smoke,image_00036.jpg,smoke
SmokeSet2/smoke,image_00037.jpg,smoke
SmokeSet2/smoke,image_00038.jpg,smoke
SmokeSet2/smoke,image_00039.jpg,smoke
SmokeSet2/smoke,image_00040.jpg,smoke
SmokeSet2/smoke,image_00041.jpg,smoke
SmokeSet2/smoke,image_00042.jpg,smoke
SmokeSet2/smoke,image_00043.jpg,smoke
SmokeSet2/smoke,image_00044.jpg,smoke
SmokeSet2/smoke,image_00045.jpg,smoke
SmokeSet2/smoke,image_00046.jpg,smoke
SmokeSet2/smoke,image_00047.jpg,smoke
SmokeSet2/smoke,image_00048.jpg,smoke
SmokeSet2/smoke,image_00049.jpg,smoke
SmokeSet2/smoke,image_00050.jpg,smoke
SmokeSet2/smoke,image_00051.jpg,smoke
SmokeSet2/smoke,image_00052.jpg,smoke
SmokeSet2/smoke,image_00053.jpg,smoke
SmokeSet2/smoke,image_00054.jpg,smoke
SmokeSet2/smoke,image_00055.jpg,smoke
SmokeSet2/smoke,image_00056.jpg,smoke
SmokeSet2/smoke,image_00057.jpg,smoke
SmokeSet2/testing,image_00000.jpg,smoke
SmokeSet2/testing,image_00001.jpg,smoke
SmokeSet2/testing,image_00002.jpg,smoke
SmokeSet2/testing,image_00003.jpg,smoke
SmokeSet2/testing,image_00004.jpg,smoke
SmokeSet2/testing,image_00005.jpg,"['fire', 'smoke']"
SmokeSet2/testing,image_00006.jpg,smoke
SmokeSet2/testing,image_00007.jpg,smoke
SmokeSet2/testing,image_00008.jpg,smoke
SmokeSet2/testing,image_00009.jpg,smoke
SmokeSet2/testing,image_00010.jpg,smoke
SmokeSet2/testing,image_00011.jpg,"['fire', 'smoke']"
SmokeSet2/testing,image_00012.jpg,smoke
SmokeSet2/testing,image_00013.jpg,smoke
SmokeSet2/testing,image_00014.jpg,smoke
SmokeSet2/testing,image_00015.jpg,smoke
SmokeSet2/testing,image_00016.jpg,smoke
SmokeSet2/testing,image_00017.jpg,smoke
SmokeSet2/testing,image_00018.jpg,"['fire', 'smoke']"
SmokeSet2/testing,image_00019.jpg,smoke
